execution_timestamp,pubDate,organization,title,link,summary
2025-05-01 19;14;10,2025年5月1日,経済産業省お知らせ,ヘルスケアをテーマにした国際イベント 「Global Healthcare Challenge（GHeC）」のHPが公開されました,https://ghec2025.jp/,
2025-05-01 19;14;10,2025年5月1日,経済産業省お知らせ,DX推進に向けた地域別説明会を開催します,https://www.meti.go.jp/policy/it_policy/investment/dx-tiikiseminar2025.html,
2025-05-01 19;14;10,2025年4月25日,経済産業省お知らせ,【令和6年度分野別特許出願技術動向調査結果】「ペロブスカイト太陽電池関連技術」等において日本が強みを有していることが示唆されました,https://www.jpo.go.jp/resources/report/gidou-houkoku/tokkyo/2024theme.html,
2025-05-01 19;14;10,2025年4月25日,経済産業省お知らせ,2025年度『自動運転の実用化・普及展開及び標準化・規格化に係る高速道FOT実証実験』公募を開始します,https://www.meti.go.jp/policy/mono_info_service/digital_architecture/lifeline/20250425.html,
2025-05-01 19;14;10,2025年4月22日,経済産業省お知らせ,令和7年度ヘルスケア産業国際展開推進事業補助金の公募を開始しました,https://medicalexcellencejapan.org/jp/all/detail/721/,
2025-05-01 19;14;10,2025年4月21日,経済産業省お知らせ,日本産業規格（JIS）を制定・改正しました（2025年4月分）,https://www.meti.go.jp/policy/economy/hyojun-kijun/jiskouji/20250421001.html,
2025-05-01 19;14;10,2025年4月18日,経済産業省お知らせ,令和7年4月2023年工場立地動向調査（追加調査）の結果を公表しました,https://www.meti.go.jp/statistics/tii/ritti/result-2.html,
2025-05-01 19;14;10,2025年4月18日,経済産業省お知らせ,令和7年度「スマートモビリティチャレンジ推進協議会伴走支援」の公募を開始しました,https://www.mobilitychallenge.go.jp/info3/,
2025-05-01 19;14;10,2025年4月9日,経済産業省お知らせ,令和7年度第1回誤使用・不注意による製品事故リスクを低減した製品の表彰・表示制度（プラスあんしん）の募集を開始しました！,https://www.meti.go.jp/product_safety/ps-award/risksystem/,
2025-05-01 19;14;10,2025年4月9日,経済産業省お知らせ,令和7年度第19回製品安全対策優良企業表彰（PSアワード）の募集を開始しました！,https://www.meti.go.jp/product_safety/ps-award/2-entry/p1.html,
2025-05-01 19;14;10,2025年4月9日,経済産業省お知らせ,令和6年度補正予算「対内直接投資促進事業費補助金」の公募を開始しました,https://www.meti.go.jp/policy/investment/5references/r6hosei_fs.html,
2025-05-01 19;14;10,2025年4月2日,経済産業省お知らせ,ソフトウェアモダナイゼーション委員会で目指すビジョンと今後の重点テーマをまとめた報告書を公開しました,https://www.ipa.go.jp/disc/committee/software-modernization-comittee.html,
2025-05-01 19;14;10,2025年3月31日,経済産業省お知らせ,特設サイト「蛍光灯製造禁止に伴うLED照明への切替について」を公開しました,https://www.meti.go.jp/policy/mono_info_service/joho/led_shomei/index.html,
2025-05-01 19;14;10,2025年3月31日,経済産業省お知らせ,令和6年度補正グローバルサウス未来志向型共創等事業委託費におけるマスタープラン策定等調査事業を実施する再委託先事業者の二次公募採択結果について（2025年3月31日）,https://www.meti.go.jp/policy/external_economy/cooperation/oda/r5_hosei_mpkouhyou_niji.html,
2025-05-01 19;14;10,2025年3月31日,経済産業省お知らせ,「ポスト5G情報通信システム基盤強化研究開発事業」の事業者に対するステージゲート審査の結果に基づく予算増額の承認を行いました（2025年3月31日）,https://www.meti.go.jp/policy/mono_info_service/joho/post5g/20250331.html,
2025-05-01 19;14;10,2025年3月31日,経済産業省お知らせ,データ・生成AI利活用実証（GENIAC）の採択結果について,https://www.nedo.go.jp/koubo/CD3_100391.html,
2025-05-01 19;14;10,2025年3月26日,経済産業省お知らせ,第4回レガシーシステムモダン化委員会の資料と議事要旨を公開しました,https://www.ipa.go.jp/disc/committee/legacy-system-modernization-comittee.html,
2025-05-01 19;14;10,2025年3月26日,経済産業省お知らせ,ベトナムにおける責任ある企業行動の推進研修を実施しました,https://www.meti.go.jp/policy/economy/business-jinken/newsrelease/vietnamseminar/vietnam-seminar.html,
2025-05-01 19;14;10,2025年3月24日,経済産業省お知らせ,DX支援取組事例集-DX支援ガイダンス別冊-を拡充しました,https://www.meti.go.jp/policy/it_policy/investment/dx-shien/dx-shien.html,
2025-05-01 19;14;10,2025年3月24日,経済産業省お知らせ,特許庁ステータスレポート2025をとりまとめました,https://www.jpo.go.jp/resources/report/statusreport/2025/matome.html,
2025-05-01 19;14;10,2025年3月21日,経済産業省お知らせ,日本発のオンライン紛争解決サービスの提供に関する国際規格が発行されました?電子商取引の安心・安全な利用を目指して（ISO 32122）?,https://www.meti.go.jp/policy/economy/hyojun-kijun/is/20250321.html,
2025-05-01 19;14;10,2025年3月21日,経済産業省お知らせ,日本産業規格（JIS）を制定・改正しました（2025年3月分）,https://www.meti.go.jp/policy/economy/hyojun-kijun/jiskouji/20250321001.html,
2025-05-01 19;14;10,2025年3月19日,経済産業省お知らせ,第1回燃料電池商用車に関する重点地域の公募について,https://www.meti.go.jp/policy/mono_info_service/mono/automobile/fcmobility-juutennchiiki2025.html,
2025-05-01 19;14;10,2025年3月17日,経済産業省お知らせ,2025年度緑化優良工場等表彰（全国みどりの工場大賞）の募集を開始します,https://www.meti.go.jp/policy/local_economy/koujourittihou/ryokukahyousyou/ryokukahyousyoubosyu_r7.html,
2025-05-01 19;14;10,2025年3月14日,経済産業省お知らせ,日・ウズベキスタン間の二国間クレジット制度（JCM）の 第1回合同委員会を開催しました,https://www.meti.go.jp/policy/energy_environment/global_warming/jcm/uz_JC1.html,
2025-05-01 19;14;10,2025年3月12日,経済産業省お知らせ,インド現地物流関連施設視察団を派遣しました,https://www.meti.go.jp/policy/external_economy/trade/indopacific/supplychain/ChennaiPortVisit2025.html,
2025-05-01 19;14;10,2025年3月11日,経済産業省お知らせ,Japan Entrepreneurship Allianceの発足を宣言します,https://www.chusho.meti.go.jp/keiei/kyouiku/2025/20250311.html,
2025-05-01 19;14;10,2025年3月11日,経済産業省お知らせ,介護関連サービス事業協会が設立されました,https://www.meti.go.jp/policy/mono_info_service/healthcare/csbaseturitu.html,
2025-05-01 19;14;10,2025年3月7日,経済産業省お知らせ,「ウラノス・エコシステムの実現のためのデータ連携システム構築・実証事業」に係る公募の開始について,https://www.nedo.go.jp/koubo/IT2_100347.html,
2025-05-01 19;14;10,2025年3月4日,経済産業省お知らせ,気候変動に関する政府間パネル（IPCC）第62回総会の結果 について,https://www.meti.go.jp/policy/energy_environment/global_warming/global2/about_ipcc/ipcc-62.html,
2025-05-01 19;14;10,2025年3月3日,経済産業省お知らせ,「合理的配慮＆ニューロダイバーシティセミナー?共生社会の実現と個が活躍できる企業文化を目指して?」を開催します！（令和7年3月17日開催）,https://www.mizuho-rt.co.jp/archive/event/2025/dei0317.html,
2025-05-01 19;14;10,2025年3月3日,経済産業省お知らせ,令和6年度ヘルスケア産業国際展開推進事業　最終報告会（WEB形式）開催のご案内,https://medicalexcellencejapan.org/jp/all/detail/707/,
2025-05-01 19;14;10,2025年3月3日,経済産業省お知らせ,令和6年度ヘルスケア産業国際展開推進事業　ミッション報告会,https://www.link-j.org/member_event/article-45724.html,
2025-05-01 19;14;10,2025年2月28日,経済産業省お知らせ,越境プライバシールール（CBPR）展開セミナー（3月19日東京）を開催します！,https://www.meti.go.jp/policy/external_economy/cbpr/cbpr_seminar1.html,
2025-05-01 19;14;10,2025年2月28日,経済産業省お知らせ,3月は価格交渉促進月間です！,https://www.chusho.meti.go.jp/keiei/torihiki/follow-up/index.html,
2025-05-01 19;14;10,2025年2月25日,経済産業省お知らせ,2月26日?2月28日に開催の介護・福祉に関する展示会「Care Show Japan 2025」に【OPEN CARE PROJECT＜介護施策＞】及び【オレンジイノベーション・プロジェクト＜認知症施策＞】がブース出展します！,https://www.care-show.com/,
2025-05-01 19;14;10,2025年2月21日,経済産業省お知らせ,100億宣言を開始します！（2025年2月21日公表）,https://www.chusho.meti.go.jp/keiei/100oku/index.html,
